"","nombre_curso","genero","periodo","curso","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento"
"26877","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,67,91,"DESARROLLO DE SOFTWARE",1989
"26878","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,70,93,"DESARROLLO DE SOFTWARE",1993
"26879","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,56,74,"DESARROLLO DE SOFTWARE",1990
"26880","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,65,82,"DESARROLLO DE SOFTWARE",1993
"26881","ANALISIS Y DISE\O DE SISTEMAS 2",1,2,785,2016,2012,41,64,"DESARROLLO DE SOFTWARE",1988
"26882","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2013,62,86,"DESARROLLO DE SOFTWARE",1996
"26883","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2012,63,81,"DESARROLLO DE SOFTWARE",1993
"26884","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2016,2012,9,9,"DESARROLLO DE SOFTWARE",1991
"26885","ANALISIS Y DISE\O DE SISTEMAS 2",2,5,785,2016,2013,58,79,"DESARROLLO DE SOFTWARE",1995
"26886","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2016,2012,56,73,"DESARROLLO DE SOFTWARE",1993
"26887","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2016,2012,60,72,"DESARROLLO DE SOFTWARE",1993
"26888","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2016,2012,58,68,"DESARROLLO DE SOFTWARE",1992
"26889","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2016,2012,56,56,"DESARROLLO DE SOFTWARE",1993
"26890","ANALISIS Y DISE\O DE SISTEMAS 2",2,5,785,2016,2012,65,80,"DESARROLLO DE SOFTWARE",1988
"26891","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2016,2012,50,71,"DESARROLLO DE SOFTWARE",1995
